Depth,ROP5,GammaRay,SWOB,TQA,RPM,TRPM_RT,CRPM_RT,STICK_RT,SPPA,TFLO,AnTemp,AnPres,SHKRSK_RT,ECD
1060.551599999996,6.48,13.141,3.218,10.156,69.153,1953.125,66.0,240.0,74.615,3100.995,25.4,128.5462,0.0,1.2176000000000002
1060.703999999996,6.673,12.25,3.002,9.283,69.363,1914.063,74.0,114.0,74.758,3100.995,25.6,128.6702,0.0,1.2182
1060.856399999996,7.118,13.141,3.162,10.837,69.545,1953.125,80.0,201.0,74.442,3100.995,25.2,128.3118,0.0,1.2162
1061.008799999996,7.416,15.016,3.172,10.186,69.153,1953.125,75.0,213.0,74.389,3100.995,25.4,128.5462,0.0,1.2176000000000002
1061.161199999996,7.606,15.016,3.137,11.474,69.569,1953.125,70.0,318.0,74.089,3100.995,25.8,128.98739999999998,0.0,1.2204000000000002
1061.313599999996,7.972,12.25,3.444,9.891,69.767,1914.063,69.0,129.0,74.245,3100.995,25.6,128.67020000000002,0.0,1.2182
1061.4659999999958,8.482,15.016,3.281,9.582,69.182,1953.125,55.0,372.0,74.137,3100.995,25.8,128.98739999999998,0.0,1.2204000000000002
1061.6183999999955,8.85,10.563,3.227,9.56,69.561,1953.125,80.0,174.0,74.27,3100.995,25.6,128.67020000000002,0.0,1.2182
1061.7707999999957,8.963,12.25,3.371,10.975,69.261,1953.125,63.0,249.0,74.387,3100.995,25.4,128.5462,0.0,1.2176000000000002
1061.9231999999956,9.066,9.0,3.415,-1.387,69.455,1953.125,63.0,111.0,74.39,3100.995,25.6,128.6702,0.0,1.2182
1062.0755999999956,9.171,12.25,3.174,11.426,69.743,1914.063,47.0,243.0,74.368,3100.995,25.2,128.3532,0.0,1.2164000000000001
1062.2279999999955,9.276,13.141,3.628,11.183,69.473,1953.125,64.0,144.0,74.577,3100.995,25.6,128.67020000000002,0.0,1.2182
1062.3803999999957,9.386,13.141,3.181,10.375,69.636,1914.063,80.0,381.0,74.459,3100.995,25.8,129.1392,0.0,1.2212
1062.5327999999954,9.497,10.563,3.384,11.275,69.482,1953.125,65.0,177.0,74.394,3100.995,25.6,128.67020000000002,0.0,1.2182
1062.6851999999951,9.611,13.141,3.393,10.843,70.009,1953.125,70.0,132.0,74.739,3100.995,25.6,128.67020000000002,0.0,1.2182
1062.8375999999953,9.693,16.0,3.478,10.735,71.182,1953.125,68.0,231.0,74.92,3100.995,25.4,128.5462,0.0,1.2176
